"study_name","feature_id","species","n_control","n_crc","mean_control","mean_crc","median_control","median_crc","diff_mean","p_value","fdr","direction"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus","Anaerostipes hadrus",61,46,0.46102636829205,0.0412473925822508,0.545721416372481,0.181099996179494,-0.419778975709799,0.000507625819791174,0.0225698249107153,"depleted_in_crc"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii","Alistipes finegoldii",61,46,-2.54510454200839,-1.09912429876209,-1.91399629438162,-1.1069424367915,1.4459802432463,0.000685794272047121,0.0283135063745168,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae","Parabacteroides merdae",61,46,-2.80004076017842,-1.46764560527313,-2.26360349772336,-0.776571154783725,1.33239515490528,0.000767349422071282,0.0295685310638134,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16","Ruminococcaceae bacterium D16",61,46,-4.69340807667497,-3.79457158021636,-5,-5,0.898836496458608,0.000866950692366463,0.0313185937617385,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae","Lactobacillus rogosae",61,46,-4.38616048402079,-3.49304974249193,-5,-4.17339374311233,0.893110741528862,0.00128272497321944,0.0436126490894608,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus","Lawsonibacter asaccharolyticus",61,46,-3.03860409029605,-2.08326166945966,-2.56224943717961,-1.54055091849562,0.955342420836389,0.0013837711708081,0.0444344298181713,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi","Hungatella hathewayi",61,46,-4.21926081410816,-3.3298301832211,-5,-3.17470055091367,0.889430630887068,0.00149565218512146,0.045499313842116,"enriched_in_crc"
"FengQ_2015","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii","Bacteroides eggerthii",61,46,-3.91561569121901,-2.63499354126703,-5,-2.32762314610463,1.28062214995197,0.00166523018914915,0.0478486955287174,"enriched_in_crc"
"GuptaA_2019","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis","Roseburia faecis",30,30,-0.90302825948929,-4.01308499719748,-0.336584005940771,-5,-3.11005673770819,7.85289749081499e-07,0.000241869242717102,"depleted_in_crc"
"GuptaA_2019","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii","Flavonifractor plautii",30,30,-4.47996749778725,-1.71397350240568,-5,-0.666390129770267,2.76599399538157,2.41019371459234e-06,0.000371169832047221,"enriched_in_crc"
"GuptaA_2019","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale","[Eubacterium] rectale",30,30,-0.499222739469988,-3.17367884065675,0.182746855232157,-5,-2.67445610118677,4.8503864674501e-06,0.00049797301065821,"depleted_in_crc"
"GuptaA_2019","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron","Bacteroides thetaiotaomicron",30,30,-3.24374518138429,-1.02800834381522,-5,-0.299905165048317,2.21573683756906,7.39602911495912e-06,0.000558766818286292,"enriched_in_crc"
"GuptaA_2019","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri","Prevotella copri",30,30,0.544023618709573,-0.944691376439823,1.66845537966303,-0.085885251114819,-1.4887149951494,9.07088990724499e-06,0.000558766818286292,"depleted_in_crc"
"GuptaA_2019","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans","Ruthenibacterium lactatiformans",30,30,-4.6394917066274,-2.03413740316604,-5,-0.898770151317978,2.60535430346136,1.48787180987282e-05,0.000763774195734714,"enriched_in_crc"
"GuptaA_2019","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis","Bacteroides fragilis",30,30,-3.91384172360567,-1.1438725022995,-5,-0.504734209479997,2.76996922130617,4.05068577972189e-05,0.00138623468906038,"enriched_in_crc"
"GuptaA_2019","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii","Bacteroides eggerthii",30,30,-4.89755494325377,-2.53545029735376,-5,-3.22004668748194,2.36210464590001,3.75305157782658e-05,0.00138623468906038,"enriched_in_crc"
