"species","n_studies_tested","n_sig","n_enriched_crc","n_depleted_crc","mean_diff"
"Citrobacter pasteurii",11,0,0,0,0.0640566449281001
"[Eubacterium] brachy",11,0,0,0,0.0628752207508045
"Clostridium perfringens",11,0,0,0,0.0627980011072501
"Olsenella uli",11,0,0,0,0.0627069406471123
"Clostridium celatum",11,0,0,0,0.0626404683172455
"Sellimonas intestinalis",11,0,0,0,0.0624115660758192
"[Bacteroides] pectinophilus",11,0,0,0,-0.0623139957172898
"Barnesiella intestinihominis",11,0,0,0,0.0619815349466948
"Campylobacter gracilis",11,0,0,0,0.0619152354854145
"Bifidobacterium animalis",11,0,0,0,-0.0618317832874348
"Odoribacter laneus",11,0,0,0,0.0616737224017952
"Haemophilus pittmaniae",11,0,0,0,-0.0615977588459016
"Acidaminococcus fermentans",11,0,0,0,0.0604105995156475
"Flavonifractor sp. An10",11,0,0,0,0.0603974436514253
"Enterococcus avium",11,0,0,0,0.0596947220956226
"Mogibacterium pumilum",11,0,0,0,0.059665711488813
"Haemophilus sp. HMSC71H05",11,0,0,0,-0.0595049522751253
"Gordonibacter pamelaeae",11,0,0,0,-0.059042690912388
"Prevotella timonensis",11,0,0,0,0.0589879265771017
"Actinobaculum sp. oral taxon 183",11,0,0,0,-0.0585617373590185
"Acidaminococcus sp. CAG:542",11,0,0,0,-0.0580692580204937
"Abiotrophia defectiva",11,0,0,0,0.0578641002299772
"Firmicutes bacterium CAG:95",11,0,0,0,0.0575419049235815
"Veillonella tobetsuensis",11,0,0,0,0.0565700634701776
"Prevotella sp. CAG:5226",11,0,0,0,0.0564305101968272
"Veillonella atypica",11,0,0,0,0.05575679485062
"Prevotella sp. CAG:1320",11,0,0,0,0.0548656524326145
"[Eubacterium] sulci",11,0,0,0,0.0546770413155456
"Methanosphaera stadtmanae",11,0,0,0,-0.054659737708079
"Prevotella sp. CAG:617",11,0,0,0,0.0543667592744528
"Veillonella sp. CAG:933",11,0,0,0,0.0541813986973836
"Succinatimonas hippei",11,0,0,0,0.0535669012695623
"Klebsiella variicola",11,0,0,0,-0.0529616564618887
"Anaerofustis stercorihominis",11,0,0,0,0.052953106120461
"Enterococcus casseliflavus",11,0,0,0,0.0520227982863109
"Firmicutes bacterium CAG:555",11,0,0,0,0.0519616186920706
"Coprobacillus cateniformis",11,0,0,0,0.051795795947642
"Peptococcus niger",11,0,0,0,0.0514484075345399
"Clostridium sp. CAG:299",11,0,0,0,-0.0513527563942892
"Haemophilus haemolyticus",11,0,0,0,0.0509882492840014
"Roseburia inulinivorans",11,0,0,0,-0.0508784314842437
"Alloscardovia omnicolens",11,0,0,0,0.0500147420416742
"Pyramidobacter sp. C12-8",11,0,0,0,0.0491896325620985
"Parvimonas sp. oral taxon 393",11,0,0,0,0.0489662155348573
"Lactococcus garvieae",11,0,0,0,0.0487801273672769
"Eubacterium coprostanoligenes",11,0,0,0,0.0483385903700579
"Blautia hansenii",11,0,0,0,-0.0483366021576307
"Bacteroides sp. CAG:598",11,0,0,0,-0.0482881889713526
"Prevotella sp. CAG:1031",11,0,0,0,0.0473713411399025
"Veillonella infantium",11,0,0,0,-0.0473232994026878
"Mitsuokella jalaludinii",11,0,0,0,-0.0472448444210098
"Scardovia wiggsiae",11,0,0,0,0.047242607577073
"Lachnoanaerobaculum saburreum",11,0,0,0,0.0467318595827461
"Lachnoclostridium sp. An118",11,0,0,0,0.0464743088390782
"Firmicutes bacterium CAG:534",11,0,0,0,0.046376560438629
"Prevotella corporis",11,0,0,0,0.0462427333907274
"Propionibacterium freudenreichii",11,0,0,0,-0.0461243438262437
"Ruminococcus callidus",11,0,0,0,-0.0449355134257385
"Prevotella sp. CAG:1058",11,0,0,0,-0.0448863193940146
"Terrisporobacter othiniensis",11,0,0,0,-0.0445766614666299
"Lacticaseibacillus rhamnosus",11,0,0,0,0.0444728978330257
"Fusobacterium ulcerans",11,0,0,0,0.044165427011986
"Prevotella sp. oral taxon 376",11,0,0,0,0.0434598929483121
"Streptococcus lutetiensis",11,0,0,0,0.043366433055247
"Prevotella buccalis",11,0,0,0,0.0433659236159897
"Alistipes timonensis",11,0,0,0,0.043166547546496
"Fusobacterium equinum",11,0,0,0,0.0427550185625319
"Bacteroides finegoldii",11,0,0,0,0.0419068236364226
"Prevotella melaninogenica",11,0,0,0,0.0418713407979852
"Streptococcus sinensis",11,0,0,0,0.0415413643245004
"Corynebacterium casei",11,0,0,0,-0.0412982845192773
"Dialister micraerophilus",11,0,0,0,0.0412233971924167
"Oribacterium sinus",11,0,0,0,0.0411606835155175
"Bifidobacterium pseudolongum",11,0,0,0,0.0410348837927249
"Peptoniphilus lacrimalis",11,0,0,0,0.0407987383630002
"Ruminococcus sp. CAG:579",11,0,0,0,0.0407158000125829
"Bifidobacterium breve",11,0,0,0,0.0405409049286037
"Corynebacterium argentoratense",11,0,0,0,0.0404646003037881
